Media Title,Media Link,Description,Author,Module Category,Media Type,Media Topics Covered,Language
"Data, Responsibly (Vol. 1) (English)",https://dataresponsibly.github.io/comics/vol1/mirror_en.pdf,"Learn about data ethics and fairness in this sophisticated virtual comic book series from the Framework for Integrative Equity Systems Institute. Available in English, Spanish, Portuguese and French, these virtual comic books explore equity issues in data science systems.","""Data, Responsibly""",Learn & Teach,Comic Book,Data Science Basics,English
"Data, Responsibly (Vol. 1) (French)",https://dataresponsibly.github.io/comics/vol1/mirror_fr.pdf,"Learn about data ethics and fairness in this sophisticated virtual comic book series from the Framework for Integrative Equity Systems Institute. Available in English, Spanish, Portuguese and French, these virtual comic books explore equity issues in data science systems.","""Data, Responsibly""",Learn & Teach,Comic Book,Data Science Basics,French
"Data, Responsibly (Vol. 1) (Portuguese)",https://dataresponsibly.github.io/comics/vol1/mirror_br.pdf,"Learn about data ethics and fairness in this sophisticated virtual comic book series from the Framework for Integrative Equity Systems Institute. Available in English, Spanish, Portuguese and French, these virtual comic books explore equity issues in data science systems.","""Data, Responsibly""",Learn & Teach,Comic Book,Data Science Basics,Portuguese
"Data, Responsibly (Vol. 1) (Spanish)",https://dataresponsibly.github.io/comics/vol1/mirror_es.pdf,"Aprenda sobre la ética y la equidad de los datos en esta sofisticada serie de cómics virtuales del Framework for Integrative Equity Systems Institute. Disponibles en inglés, español, portugués y francés, estos cómics virtuales exploran cuestiones de equidad en los sistemas de ciencia de datos.","""Data, Responsibly""",Learn & Teach,Comic Book,Data Science Basics,Spanish
"Data, Responsibly (Vol. 2) Fairness and Friends (English)",https://dataresponsibly.github.io/comics/vol2/fairness_en.pdf,"Learn about data ethics and fairness in this sophisticated virtual comic book series from the Framework for Integrative Equity Systems Institute. Available in English, Spanish, Portuguese and French, these virtual comic books explore equity issues in data science systems.","""Data, Responsibly""",Learn & Teach,Comic Book,"Data Science Basics,Ethics & Bias",English
"Data: Past, Present, Future",https://data-ppf.github.io/,This Columbia University course integrates the teaching of algorithms and data manipulation with the political whirlwinds and ethical controversies from which those techniques emerged.,"Matt Jones,Chris Wiggins,Columbia University",Learn & Teach,Course,"Data Science Basics,Ethics & Bias",English
Data4Kids,https://www.urban.org/data4kids-virtually-teaching-kids-about-data-science,"To assist educators in supporting students’ data science learning, Data4Kids created five data stories educators can freely access and modify for their own uses and students’ experiences. Each story is a starter kit for educators at different levels: grades 3–5 (band 1), grades 6–8 (band 2), and grades 9–12 (band 3).",Urban Institute,Learn & Teach,Curriculum,Data Science Basics,English
DataBank,https://databank.worldbank.org/home.aspx,Explore a large collection of free datasets offered by The World Bank!,The World Bank,Research & Practice,Dataset,"Data Analysis,Data Visualization",English
DataClassroom Data Visualization,https://about.dataclassroom.com/,The web-based app lets students engage with data and do real analysis. ,DataClassroom ,Research & Practice,Tutorial,"Data Modeling,Data Visualization",English
DataClassroom Resource Library,https://about.dataclassroom.com/resource-library,"You can browse and search for Ready-to-Teach datasets with full lesson plans, Digital Data Nuggets, and our curated Raw datasets.",DataClassroom ,Learn & Teach,"Curriculum,Game,Data Science Challenge / Project","Data Science Basics,Statistics,Math Fundamentals",English
DataClubs,https://www.terc.edu/dataclubs/modules/,Data Clubs modules are designed to reflect the interests of middle school learners but are also appropriate for older youth. Designed for grades 6-8.,Data Clubs,Learn & Teach,"Curriculum,Data Science Challenge / Project","Data Science Basics,Math Fundamentals",English
DataFlair R tutorials,https://data-flair.training/blogs/r-tutorials-home/,This series breaks down R into 3 levels of difficulty!,DataFlair,Learn & Teach,"Course,Video","Coding,R",English
Dataiku Academy,https://academy.dataiku.com/page/course-catalog,The Dataiku Academy Course Catalog provides resources when searching for a particular data science subject. ,Dataiku Academy,Learn & Teach,Course,"Data Science Basics,Machine Learning,SQL,Coding,Apache",English
Datasets APIs and open source projects related to Climate Change,https://github.com/KKulma/climate-change-data,"A list of datasets, APIs, and open source projects related to Climate Change","Github,Kasia Kulma",Research & Practice,Dataset,"Climate Change & Environment,Data Science for Good",English
Datasets for Machine Learning and Deep Learning,https://sebastianraschka.com/blog/2021/ml-dl-datasets.html,Fun datasets curated by Dr. Sebastian Raschka.,Sebastian Raschka,Research & Practice,"Dataset,Newsletter,Research Guide","Machine Learning,Deep Learning",English
Dataspire - Data Literacy Series,https://dataspire.org/building-blocks-for-data-literacy,Dataspire inspires and excites stakeholders to be active citizens by enhancing data and science ,Dataspire,Learn & Teach,"Curriculum,Video","Data Science Basics,Math Fundamentals",English
DeafTec Accessible Online Instruction Resources,https://deaftec.org/teaching-learning/online-teaching-and-learning/,"As colleges and schools scramble to move their teaching online in response COVID-19 outbreak, educators need to make instruction and materials accessible not only for deaf and hard-of-hearing students but for all students.
",DeafTec,Learn & Teach,"Curriculum,Video","Diversity,Accessibility & Data Science","English,American Sign Language"
DeafTec Job Search Strategices,https://deaftec.org/online-learning/job-search-modules/,A job search tool for STEM students and job candidates who are deaf or hard of hearing.,DeafTec,Network & Explore,Career Resources,"Diversity,Accessibility & Data Science,Data Science Careers","English,American Sign Language"
DeafTec STEM Curriculum for Teching Deaf and Hard of Hearing Students,https://deaftec.org/projects-programs/curricula/,"DeafTEC's STEM awareness curriculum for all teachers.
",DeafTec,Learn & Teach,Curriculum,"Diversity,Accessibility & Data Science","English,American Sign Language"
DeafTec STEM Sign Video Dictionary,https://deaftec.org/stem-dictionary/,"Since the vocabularies of STEM disciplines are often not used in the common vernacular of the ASL community, interpreters, teachers and tutors are forced to create technical signs for these words or concepts ad hoc, which may result in signs that lack both semantic accuracy and specificity. This site provides a visual dictionary of STEM terms to use when teaching Deaf or Hard of Hearing students.",DeafTec,Learn & Teach,Video,"Diversity,Accessibility & Data Science","English,American Sign Language"
Deep Learning,https://www.nature.com/articles/nature14539,A reseach article emphasizing the different use cases of deep learning,Nature,Research & Practice,Article or Journal,Deep Learning,English
Deep Learning Course with Vincent Vanhoucke,https://www.udacity.com/course/deep-learning--ud730,This course is a practical approach to deep learning for software developers.,TensorFlow,Learn & Teach,Course,Machine Learning,English
Deep Learning Gender from name - LSTM Recurrent Neural Networks,https://towardsdatascience.com/deep-learning-gender-from-name-lstm-recurrent-neural-networks-448d64553044,"Deep learning neural networks have shown promising results in problems related to vision, speech and text with varying degrees of success.","Deepak Babu P R,Towards Data Science",Research & Practice,Dataset,"Deep Learning,Python",English
Deep Learning in Neural Networks: An Overview,https://www2.econ.iastate.edu/tesfatsi/DeepLearningInNeuralNetworksOverview.JSchmidhuber2015.pdf,"This historical survey compactly summarizes relevant work, much of it from the previous millennium.","Jürgen Schmidhuber,Swiss AI Lab IDSIA",Research & Practice,Article or Journal,"Deep Learning,Machine Learning",English
Deep Learning Papers Reading Roadmap,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,"If you are a newcomer to the Deep Learning area, the first question you may have is ""Which paper should I start reading from?"" Here is a reading roadmap of Deep Learning papers!",Flood Sung,Research & Practice,Article or Journal,Deep Learning,English
Deep Learning with Andrew Ng,https://www.coursera.org/specializations/deep-learning,Become a Machine Learning expert. Master the fundamentals of deep learning and break into AI. Recently updated with cutting-edge techniques!,Andrew Ng,Learn & Teach,"Course,Video",Deep Learning,English
Deep Learning YouTube Channel - Deep Learning Videos,https://www.youtube.com/channel/UCP7jMXSY2xbc3KCAE0MHQ-A/playlists,DeepMind aims to build advanced AI to expand our knowledge and find new answers.,DeepMind,Learn & Teach,Video,"Deep Learning,AI",English
Deep Learning: Intelligence from Big Data,https://www.youtube.com/watch?v=czLI3oLDe8M&ab_channel=vlabvideos,"Learn more about this exciting new technology and be introduced to some of the new application domains, the business models, and the key players in this emerging field. ","VLabVideos,Massachusetts Institute of Technology (MIT)",Learn & Teach,Video,"Machine Learning,Big Data",English
Deep Multi-Task and Meta Learning,http://cs330.stanford.edu/,"While deep learning has achieved remarkable success in supervised and reinforcement learning problems, such as image classification, speech recognition, and game playing, these models are, to a large degree, specialized for the single task they are trained for. This course will cover the setting where there are multiple tasks to be solved, and study how the structure arising from multiple tasks can be leveraged to learn more efficiently or effectively.",Stanford University,Learn & Teach,Course,Deep Learning,English
Deeplearning.ai’s The Batch,https://www.deeplearning.ai/the-batch/,Deeplearning AI's newsletter on advances in the artificial intelligence,Deeplearning AI,Research & Practice,Newsletter,AI,English
DeepMind x UCL | Introduction to Reinforcement Learning 2015,https://www.youtube.com/playlist?list=PLqYmG7hTraZDM-OYHWgPebj2MfCFzFObQ,"Watch the lectures from DeepMind research lead David Silver's course on reinforcement learning, taught at University College London.","DeepMind,David Silver",Learn & Teach,Video,"Deep Learning,Reinforcement Learning",English
"Democratizing Artificial Intelligence: Bringing Automated Machine Learning Technologies to Basic, Translational, and Clinical Cancer Researchers",https://www.aaci-cancer.org/Files/Admin/Commentary%20Archive/2022-August-AACI-Commentary.pdf,"Machine learning, a subdiscipline of artificial intelligence focused on
data analytics, has played a key role in cancer research and care.","Dan Theodorescu,Jason H. Moore",Research & Practice,Article or Journal,"AI,Public Health,Machine Learning",English
Detección de anomalías con Isolation Forest,https://www.cienciadedatos.net/documentos/66_deteccion_anomalias_isolationforest.html,Ejemplo de cómo utilizar Isolation Forest para la detección de anomalías.,JOAQUÍN AMAT RODRIGO,Research & Practice,Research Guide,"Machine Learning,R",Spanish
Dice Tech Job Report,https://www.dice.com/,Find technology jobs and set your tech career in motion.,Dice,Network & Explore,Career Resources,Data Science Careers,English
Digital Analytics Association,https://www.digitalanalyticsassociation.org/,"The Digital Analytics Association fosters community, advocacy, and professional development that empowers you and your team to deliver value through analytics.",Digital Analytics Association,Network & Explore,"Group,Career Resources",Data Science Careers,English
Discover Data Educator Resources,https://www.discoverdatainschool.org/educators/,"Once your students start to see how meaningful data can be conjured up from every aspect of life, their view of the world will be changed forever. Access standards-aligned resources that add essential context to timely topics while exploring data-driven innovation across all industries. These ready-to-use resources can be integrated with your SSO for easy implementation.",Nielsen Foundation,Learn & Teach,"Curriculum,Data Science Challenge / Project",Data Science Basics,English
Distill,https://distill.pub/,"Explore, write, and submit professional, visually-appealing data science articles.",Distill,Research & Practice,Article or Journal,Data Science Basics,English
Distributed Training in Deep Learning Models,https://medium.com/@coviamtech/distributed-training-in-deep-learning-models-fa0a1e75eb68,"Deep learning is a sub-field of the broader spectrum of machine learning methods, and has performed remarkably well across a wide variety of tasks such as image and speech recognition, natural language processing, autonomous driving, medical research, etc. Most commonly, deep learning is based on artificial neural networks. The architecture of a standard neural network is inspired from the way the human brain functions. It is composed of connected nodes called neurons, which, through a series of real-valued activations help the network to learn complex functions. A neural network consists of several stages including input layer, hidden layers, and output layers.

",,Learn & Teach,Article or Journal,Deep Learning,English
Dive Into Deep Learning,https://d2l.ai/,"Interactive deep learning book with code, math, and discussions Implemented with NumPy/MXNet, PyTorch, and TensorFlow Adopted at 300 universities from 55 countries","Aston Zhang,Zack C. Lipton,Mu Li,Alex J. Smola,Brent Weness,Rachel Hu,Shuai Zhang,Yi Tay,Anirudh Dagar,Yuan Tang",Learn & Teach,"Book,Dataset,Data Science Challenge / Project",Deep Learning,English
Dive into Deep Learning,https://d2l.ai/index.html,"Interactive deep learning book with code, math, and discussions","Aston Zhang,Zachary C. Lipton,Mu Li,Alex J. Smola",Learn & Teach,Book,Deep Learning,English
Diversify Tech,https://www.diversifytech.co/job-board/data-and-analytics,A job board where companies are transparent about their Diversity & Inclusion efforts.,Diversify Tech,Network & Explore,Career Resources,"Data Science Careers,Diversity",English
DReLAB Dataset: Deep REinforcement Learning Adversarial Botnet Dataset,https://data.mendeley.com/datasets/nf22d786tj/1,A dataset that aims to serve as a benchmark to validate the resilience of botnet detectors against adversarial attacks.,"Andrea Venturi,Mauro Andreolini,Mirco Marchetti,Michele Colajanni",Research & Practice,Dataset,Cybersecurity & Privacy,English
Drugs4COVID Public Tools & Knowledge Graphs,https://drugs4covid.oeg.fi.upm.es/,"Drugs4Covid extracts and structures evidence from scientific papers in five steps: Harvest, Parse, Extract, Integrate, and Publish. Try out these public tools and knowledge graphs. Drugs, diseases, genes and proteins are identified and normalized to enable complex searches on the articles.",Drugs4COVID,Research & Practice,"Research Guide,Article or Journal","COVID,Public Health,Data Science for Good,Natural Language Processing (NLP),Research Tools","English,Spanish"
DSC 101: Introduction to Data Science,http://bit.ly/data8assets,"Created and taught by NSDC Founding Committee member Ajay Anand, this introductory course was adapted from the Data 8 course.",Data 8 Foundations of Data Science,Learn & Teach,"Course,Curriculum",Data Science Basics,English
EARTH Data,https://www.earthdata.nasa.gov/,The Earth Science Data Systems (ESDS) Program provides full and open access to NASA’s collection of Earth science data for understanding and protecting our home planet. ,National Aeronautics and Space Administration (NASA),Research & Practice,"Dataset,Research Guide","Data Science Basics,Climate Change & Environment",English
Earth Exploration Toolbook,https://serc.carleton.edu/eet/index.html,The Earth Exploration Toolbook is a collection of computer-based Earth science activities. ,Carleton College,Research & Practice,"Curriculum,Data Science Challenge / Project",Climate Change & Environment,English
EBSCO Global COVID-19 Open Access Information,https://covid-19.ebscomedical.com/covid-19-information-powered-ebsco,COVID-19 information packet provided by EBSCO,EBSCO,Research & Practice,Research Guide,"COVID,Public Health",English
"Education Across America: Cities, Suburbs, Towns, and Rural Areas",https://nces.ed.gov/surveys/annualreports/topical-studies/locale,"This website includes tabulations produced by the National Center for Education Statistics (NCES) that cover all locales, with indicators and summary reports that focus on specific locales forthcoming in future releases. Rural areas will be the first locale highlighted.",National Center for Education Statistics,Research & Practice,Dataset,Rural Populations,English
Edx Data Analysis Courses,https://www.edx.org/learn/data-analysis,Curation of data analysis courses on EdX.,edX,Learn & Teach,Course,"Data Science Basics,Data Analysis,R,Data Visualization,Python",English
EdX: Machine Learning with John Paisley,https://www.edx.org/course/machine-learning,Master the essentials of machine learning and algorithms to help improve learning from data without human intervention in this EdX course.,edX,Learn & Teach,"Course,Video",Machine Learning,English
Engaging Space - Designing an Accessible Digital Universe,https://docs.google.com/presentation/d/1GQgp-eq5bjuC2ziyg4y08lcqJre0NfjBkcnY7t4WheE/edit#slide=id.gd21c2c5b92_0_78,A presentation talking about digital accessibility.,"Rachel Connolly,Massachusetts Institute of Technology (MIT)",Research & Practice,"Presentation,Accessibility Resources",Accessibility & Data Science,English
ENRICH: Equity for Indigenous Research and Innovation Coordinating Hub,https://www.enrich-hub.org/,"ENRICH supports the development of Indigenous based protocols, Indigenous centered standard setting mechanisms, and machine-focused technology that inform policy, transform institutional and research practices, and reform relationships between Indigenous communities and wider society.",Enrich,Network & Explore,Group,"Research Tools,AI",English
"Ensemble methods: bagging, boosting and stacking",https://towardsdatascience.com/ensemble-methods-bagging-boosting-and-stacking-c9214a10a205,"“Unity is strength”. This old saying expresses pretty well the underlying idea that rules the very powerful “ensemble methods” in machine learning. Roughly, ensemble learning methods, that often trust the top rankings of many machine learning competitions (including Kaggle’s competitions), are based on the hypothesis that combining multiple models together can often produce a much more powerful model.",Joseph Rocca,Learn & Teach,Article or Journal,Bagging and Boosting,English
Environmental Monitoring Data,https://planetarycomputer.microsoft.com/catalog,"The Planetary Computer Data Catalog includes petabytes of environmental monitoring data, in consistent, analysis-ready formats.",Microsoft,Research & Practice,Dataset,Climate Change & Environment,English
eScience Institute Hackweek Archive,https://escience.washington.edu/using-data-science/hackweeks/archive/,"Explore past Hackweeks focused on oceanography, hydrology, geology, and astronomy.",eScience Institute,Learn & Teach,"Data Science Challenge / Project,Video","Water,Climate Change & Environment,Data Analysis",English
Esri Canada COVID-19 Resources,https://resources-covid19canada.hub.arcgis.com/,"This GIS Hub is provided by Esri Canada to share information about the coronavirus pandemic. Information sources include the Community Map of Canada, the Living Atlas, Environics Analytics and others.",Esri Canada,Research & Practice,Dataset,"COVID,Public Health,Data Analysis",English
Esri COVID-19 GIS Hub,https://coronavirus-disasterresponse.hub.arcgis.com/,"Get maps, datasets, applications, and more for coronavirus disease 2019 (COVID-19).",ESRI,Research & Practice,Dataset,"COVID,Public Health",English
Ethical and Social Issues in Natural Language Processing,https://web.stanford.edu/class/cs384/,Cover issues in natural language processing related to ethical and social issues and the overall impact of these algorithms on people and society.,Stanford University,Learn & Teach,Course,"Public Policy,Ethics & Bias,Natural Language Processing (NLP)",English
Ethical Issues Surrounding Artificial Intelligence Systems and Big Data,https://github.com/sblodgett/ai-ethics/blob/master/README.md,This course will consider some large questions surrounding ethics in artificial intelligence systems. ,Katherine A. Keith,Learn & Teach,Course,"AI,Big Data,Ethics & Bias",English
Ethics & Algorithms Toolkit,https://ethicstoolkit.ai/,A risk management framework for governments (and other people too!),Massachusetts Institute of Technology (MIT),Research & Practice,Article or Journal,"AI,Public Policy,Ethics & Bias",English
Ethics and Governance of AI Reading List,https://cyber.harvard.edu/ethics-and-governance-ai-reading-list,"A guide to catalyze and advance AI in the public interest, with the aim of including a broad set of voices in understanding and addressing the human impacts of AI.",Harvard University,Research & Practice,Article or Journal,"AI,Public Policy,Ethics & Bias",English
"Ethics, Public Policy, and Technological Change",https://web.stanford.edu/class/cs182/,This Stanford course teaches the basics of ethics that involves changes in technology and public policy. ,"Rob Reich,Stanford University",Learn & Teach,Course,"Public Policy,Ethics & Bias",English
"EU Ethics guidelines for trustworthy AI
",https://digital-strategy.ec.europa.eu/en/library/ethics-guidelines-trustworthy-ai,"On 8 April 2019, the High-Level Expert Group on AI presented Ethics Guidelines for Trustworthy Artificial Intelligence. This followed the publication of the guidelines' first draft in December 2018 on which more than 500 comments were received through an open consultation.",European Commission,Research & Practice,"Article or Journal,Presentation","AI,Public Policy,Ethics & Bias",English
European Bioinformatics Institute (EMBL-EBI) COVID-19 Data Portal,https://www.covid19dataportal.org/about,The European COVID-19 Data Platform facilitates data sharing and analysis in order to accelerate coronavirus research.,"European Commission,European Bioinformatics Institute",Research & Practice,Dataset,"COVID,Bioinformatics",English
European Centre for Disease Prevention and Control Epidemiological Update,https://www.ecdc.europa.eu/en/geographical-distribution-2019-ncov-cases,ECDC has been collecting data on the number of COVID-19 cases and deaths for all countries in the EU/EEA and globally for more than two years. ,European Centre for Disease Prevention and Control,Research & Practice,Dataset,"COVID,Bioinformatics",English
European Data Portal COVID-19 Coronavirus Data,https://www.europeandataportal.eu/data/datasets/covid-19-coronavirus-data?locale=en,Find data sets related to COVID-19 from the European Data Portal.,European Commission,Research & Practice,Dataset,"COVID,Public Health",English
Eurostat,http://ec.europa.eu/eurostat/data/database,"Eurostat, the European Statistics Organisation provides the European Union open data repository. Covers a huge range of topics including census data, business data, migration data, economy, agriculture and health.",Eurostat,Research & Practice,Dataset,"Data Analysis,Data Modeling,Data Visualization",English
Everything You Need To Know about Hypothesis Testing — Part I,https://towardsdatascience.com/everything-you-need-to-know-about-hypothesis-testing-part-i-4de9abebbc8a,Learn about statistics and data interpretation using hypothesis testing,Mahesh,Learn & Teach,Article or Journal,Hypothesis Testing,English
Evidence Aid COVID-19 Research Reviews,https://evidenceaid.org/evidence/coronavirus-covid-19/,"La colección incluye resúmenes de revisiones sistemáticas que podrían ser relevantes para el impacto directo de COVID-19 (incluidas revisiones de investigaciones emergentes, así como revisiones existentes de intervenciones relevantes) en la salud y otros resultados, el impacto de la respuesta de COVID-19 en otras condiciones y cuestiones a considerar para el período de recuperación después de COVID-19.",EvidenceAid,Research & Practice,Research Guide,"COVID,Public Health","English,Spanish"
Experience Management Platform,https://www.experience.com/,"Articles and Advice for College Students & Graduates. Offers numerous internships, along with a wealth of resources and advice for those seeking internships. The website is populated with timely articles that provide an enormous amount of information written by and for students who share their personal experiences.",Experience.com,Network & Explore,Career Resources,"Data Science Careers,Data Science Basics",English
Exploratory Data Analysis,https://github.com/odpi/OpenDS4All/tree/master/opends4all-resources/opends4all-exploratory-data-analysis,"The topic of exploratory data analysis is extremely important in discovering and formulating hypotheses. A key aspect of that process is visual analytics or information visualization, which allows one to see certain aspects of the data holistically. This module is focused on such topics.","IBM,Andre de Waal",Learn & Teach,Presentation,"Machine Learning,Data Analysis,Data Visualization",English
Exponential View,https://www.exponentialview.co/,"As AI, synthetic biology, and renewable energy mature, they will challenge our economic and social fabric in chaotic ways. Exponential View is your weekly, trusted, intellectually-curious look into the near future of technology, political economy, startups & innovation.",Azeem Azhar,Research & Practice,Newsletter,"Climate Change & Environment,AI",English
Exposure to Air Pollution and COVID-19 Mortality in the United States,https://github.com/wxwx1993/PM_COVID,This is the data repository for public available code and data to reproduce analyses on air pollution and COVID-19 mortality in the United States.,"Xiao Wu,Stanford University",Research & Practice,Dataset,"COVID,Public Health,Climate Change & Environment",English
Fairness and Machine Learning: Limitations and Opportunities,https://fairmlbook.org/index.html,Explore practical implementation problems faced by ML algorithms and models.,"Solon Barocas,Moritz Hardt,Arvind Narayanan",Learn & Teach,Book,"Machine Learning,Ethics & Bias",English
Fairness in Machine Learning,https://fairmlclass.github.io/,"This is an intensive graduate seminar on fairness in machine learning. The focus is on understanding and mitigating discrimination based on sensitive characteristics, such as, gender, race, religion, physical ability, and sexual orientation.","Moritz Hardt,""University of California, Berkeley""",Learn & Teach,Course,"Machine Learning,Ethics & Bias,Diversity",English
Fathom Dynamic Data Software,https://fathom.concord.org/,Fathom is dynamic software that’s fun and effective for teaching data analysis and statistics. ,"The Concord Consortium,Fathom",Research & Practice,Tutorial,"Data Modeling,Data Analysis,Statistics",English
Feature Selection Techniques in Machine Learning with Python,https://towardsdatascience.com/feature-selection-techniques-in-machine-learning-with-python-f24e7da3f36e,Feature Selection is one of the core concepts in machine learning which hugely impacts the performance of your model. The data features that you use to train your machine learning models have a huge influence on the performance you can achieve.,Rahil Shaikh,Learn & Teach,Article or Journal,Feature Selection,English
Federal Office of Rural Health Policy (FORHP) Data Files,https://www.hrsa.gov/rural-health/about-us/what-is-rural/data-files,"This data was created to assist researchers, government agencies and the public by providing different ways to identify or analyze rural areas.",Health Resources & Services Administration (HRSA),Research & Practice,Dataset,Public Health,English
Feeling Positive About Reopening? New Normal Scenarios From COVID-19 US Reopen Sentiment Analytics,https://ieeexplore.ieee.org/document/9154672,"This research identifies public sentiment amidst problematic socioeconomic consequences of the lockdown, and explores ensuing four potential public sentiment associated scenarios. The severity and brutality of COVID-19 have led to the development of extreme feelings, and emotional and mental healthcare challenges. This research focuses on emotional consequences - the presence of extreme fear, confusion and volatile sentiments, mixed along with trust and anticipation.",IEEE,Research & Practice,Article or Journal,"COVID,Public Health,Public Policy",English
FieldScope - Empowering Communities to Increase our Understanding of the World,https://www.fieldscope.org/learn/,BSCS Science Learning’s Invitations to Inquiry with FieldScope lessons are designed to help middle and high school students work with community and citizen science data from projects hosted on FieldScope. ,Fieldscope,Learn & Teach,"Tutorial,Curriculum","Climate Change & Environment,Data Analysis",English
FigBox Career Resources & Mentorship Program,https://figbox.co/,"Use FigBox to connect with fellow researchers, scholars, and academics working in STEM! Find mentors, earn certificates, and practice interviews.",FigBox,Network & Explore,"Group,Career Resources",Data Science Careers,English
Finding Statistics and Data Related to Rural Health,https://www.ruralhealthinfo.org/topics/statistics-and-data/resources,Selected recent or important resources focusing on Finding Statistics and Data Related to Rural Health.,Rural Health Information Hub,Research & Practice,Dataset,"Rural Populations,Public Health,Statistics",English
Finding Ways to Learn Data Science without Relying on Sight,https://takashi-hasuo.medium.com/what-would-it-take-to-learn-data-science-without-relying-on-sight-4799524d2108,"Understand the barriers to learning data science faced by screen reader users, including the visually impaired, and look for ways to improve.

",Takashi Hasuo,Learn & Teach,"Article or Journal,Accessibility Resources","Diversity,Accessibility & Data Science,Data Visualization",English
Flujo de Trabajo: Proyectos,https://es.r4ds.hadley.nz/flujo-de-trabajo-proyectos.html#resumen,Una revisión de los pasos para realizar un análisis de proyecto en R,Hadley Wickham y Garrett Grolemund,Learn & Teach,Research Guide,Data Science Careers,Spanish
"Forecasting series temporales con gradient boosting: Skforecast, XGBoost, LightGBM y CatBoost",https://www.cienciadedatos.net/documentos/py39-forecasting-series-temporales-con-skforecast-xgboost-lightgbm-catboost.html,Ejemplo de cómo predecir el número de usuarios del sistema de alquiler de bicicletas urbanas utilizando modelos de aumento de gradiente en python.,JOAQUÍN AMAT RODRIGO,Research & Practice,Data Science Challenge / Project,"Machine Learning,Python",Spanish
FreeCodeCamp Data Science Course for Beginners,https://www.youtube.com/watch?v=ua-CiDNNj30&t=13352s,Take this beginner data science course with FreeCodeCamp.,FreeCodeCamp,Learn & Teach,"Course,Video",Data Science Basics,English
Frontiers Coronavirus Knowledge Hub,https://coronavirus.frontiersin.org/,"The Frontiers Coronavirus Knowledge Hub provides an up-to-date source of trusted information and analysis on COVID-19 and coronaviruses, including the latest research articles, information, and commentary from our world-class scientific community.",Frontiers Coronavirus Knowledge Hub,Research & Practice,"Research Guide,Article or Journal","COVID,Public Health",English
Full Stack GPT-3 Tutorials,https://www.fullstackpython.com/gpt-3.html,GPT-3 is a neural network trained by the OpenAI organization with significantly more parameters than previous generation models. Use GPT-3 to explore natural language processing. ,OpenAI,Learn & Teach,Tutorial,"Python,Coding,AI,Machine Learning,Natural Language Processing (NLP)",English
Fundamentals of Data Visualization,https://clauswilke.com/dataviz/,"The book is meant as a guide to making visualizations that accurately reflect the data, tell a story, and look professional.",Claus O. Wilke,Learn & Teach,Book,Data Visualization,English
Future of Robotics and Artificial Intelligence with Andrew Ng,https://www.youtube.com/watch?v=AY4ajbu_G3k&ab_channel=Stanford,Andrew Ng details the expansion of robotics in the AI world.,Andrew Ng,Learn & Teach,"Video,Course",AI,English
"Galaxy: Best Practices for COVID-19 Analysis – Genomics, Evolution, and Cheminformatics",https://covid19.galaxyproject.org/,"Global platform for the analysis of SARS-CoV-2 data: Genomics, Cheminformatics, and Proteomics","BioConda,Galaxy",Research & Practice,Dataset,"COVID,Public Health,Data Analysis",English
Gapminder,https://www.gapminder.org/teaching/,A UK data visualization tool for middle to high school geography and social science courses with lessons and resources available for teachers wanting to use Gapminder in their classrooms. Grades 6-12.,Gapminder,Learn & Teach,Curriculum,"Data Science Basics,Data Visualization",English
Geeks for Geeks,https://www.geeksforgeeks.org/data-structures/,Geeks for geeks is a resource website designed for tutorials on all technology topics,Geeks for Geeks,Network & Explore,Career Resources,Data Science Careers,English
General Bikeshare Feed Specification Research,https://github.com/NABSA/gbfs/blob/v2.2/gbfs.md,"This document explains the types of files and data that comprise the General Bikeshare Feed Specification (GBFS) and defines the fields used in all of those files.

",Fernanda Scovino,Research & Practice,Dataset,Data Analysis,English
Geoscience and interpretations of Data Visualization,https://clutejournals.com/index.php/JAESE/article/view/9689,"What Geoscience Experts And Novices Look At, And What They See, When Viewing Data Visualizations","Kim A. Kastens,Thomas F. Shipley,Alexander P. Boone,Frances Straccia",Research & Practice,Article or Journal,"Data Visualization,Climate Change & Environment",English
Getting AI to Forget About You: Data Deletion From Machine Learning Models,https://simons.berkeley.edu/talks/getting-ai-forget-about-you-data-deletion-machine-learning-models,Data collected from individuals is the fuel that drives the modern AI revolution. Intense recent discussions have focused on how to provide individuals control over when their data can and cannot be used---the EU's Right To Be Forgotten regulation is an example of this effort. Here we initiate a framework to study what to do when it is no longer permissible to deploy models derivative from certain individual user data. ,Simons Institute for the Theory of Computing,Learn & Teach,Video,"AI,Machine Learning",English
Getting Started with Reading Deep Learning Papers,https://towardsdatascience.com/getting-started-with-reading-deep-learning-research-papers-the-why-and-the-how-dfd1ac15dbc0,Learn how to get the most out of reading deep learning papers,"Nityesh Agarwal,Towards Data Science",Learn & Teach,"Article or Journal,Research Guide",Deep Learning,English
Getting Started with Splunk Software,https://www.splunk.com/en_us/get-started.html,Resources to help you get started with using the Splunk software,Splunk,Learn & Teach,Tutorial,Splunk,English
Girls in Tech,https://girlsintech.org/,Girls in Tech is a nonprofit organization dedicated to eliminating the gender gap in tech.,Girls in Tech,Network & Explore,"Career Resources,Group",Data Science Careers,English
